Analysis data for 20-pattern-pattern algorithm on y signals for n = 50
# of comparisons: 71, regression equation: ,execution time: 0.000000 s
# of exchanges: 21, regression equation: 
count,incoming signal,x signal,y signal
0,0,0,0
1,0,,1
2,0,,0
3,0,,1
4,0,,0
5,0,,0
6,0,,1
7,1,,1
8,0,,1
9,0,,1
10,0,,1
11,1,,1
12,0,,1
13,1,,1
14,1,,1
15,0,,1
16,1,,0
17,1,,1
18,0,,1
19,1,,0
20,1,,
21,0,,
22,1,,
23,0,,
24,1,,
25,0,,
26,0,,
27,1,,
28,1,,
29,1,,
30,1,,
31,1,,
32,1,,
33,1,,
34,1,,
35,1,,
36,1,,
37,0,,
38,1,,
39,1,,
40,0,,
41,1,,
42,1,,
43,0,,
44,1,,
45,1,,
46,0,,
47,1,,
48,0,,
49,1,,
