Analysis data for 10-pattern-pattern algorithm on x signals for n = 50
# of comparisons: 90, regression equation: ,execution time: 0.000000 s
# of exchanges: 11, regression equation: 
count,incoming signal,x signal,y signal
0,0,0,0
1,1,0,
2,1,1,
3,0,0,
4,0,1,
5,1,0,
6,0,0,
7,1,0,
8,0,0,
9,0,0,
10,0,,
11,0,,
12,0,,
13,1,,
14,1,,
15,1,,
16,0,,
17,0,,
18,1,,
19,0,,
20,1,,
21,1,,
22,0,,
23,1,,
24,1,,
25,0,,
26,1,,
27,0,,
28,0,,
29,1,,
30,0,,
31,1,,
32,0,,
33,1,,
34,1,,
35,0,,
36,0,,
37,1,,
38,0,,
39,0,,
40,0,,
41,1,,
42,1,,
43,0,,
44,1,,
45,0,,
46,1,,
47,0,,
48,1,,
49,0,,
