Analysis data for 5-pattern-pattern algorithm on x and y signals for n = 50
# of comparisons: 94, regression equation: ,execution time: 0.000706 s
# of exchanges: 27, regression equation: 
count,incoming signal,x signal,y signal
0,1,0,1
1,0,0,1
2,1,0,0
3,1,1,0
4,1,1,1
5,1,,
6,1,,
7,1,,
8,1,,
9,0,,
10,1,,
11,1,,
12,1,,
13,1,,
14,1,,
15,0,,
16,1,,
17,0,,
18,1,,
19,1,,
20,1,,
21,0,,
22,0,,
23,0,,
24,1,,
25,1,,
26,0,,
27,0,,
28,0,,
29,0,,
30,0,,
31,1,,
32,1,,
33,0,,
34,1,,
35,1,,
36,1,,
37,0,,
38,1,,
39,1,,
40,0,,
41,0,,
42,1,,
43,1,,
44,1,,
45,1,,
46,0,,
47,0,,
48,1,,
49,0,,
